"","Series.Id","Year","Period","Value"
"1","CUUR0000SA0",1913,"M13",9.9
"2","CUUR0000SA0",1914,"M13",10
"3","CUUR0000SA0",1915,"M13",10.1
"4","CUUR0000SA0",1916,"M13",10.9
"5","CUUR0000SA0",1917,"M13",12.8
"6","CUUR0000SA0",1918,"M13",15.1
"7","CUUR0000SA0",1919,"M13",17.3
"8","CUUR0000SA0",1920,"M13",20
"9","CUUR0000SA0",1921,"M13",17.9
"10","CUUR0000SA0",1922,"M13",16.8
"11","CUUR0000SA0",1923,"M13",17.1
"12","CUUR0000SA0",1924,"M13",17.1
"13","CUUR0000SA0",1925,"M13",17.5
"14","CUUR0000SA0",1926,"M13",17.7
"15","CUUR0000SA0",1927,"M13",17.4
"16","CUUR0000SA0",1928,"M13",17.1
"17","CUUR0000SA0",1929,"M13",17.1
"18","CUUR0000SA0",1930,"M13",16.7
"19","CUUR0000SA0",1931,"M13",15.2
"20","CUUR0000SA0",1932,"M13",13.7
"21","CUUR0000SA0",1933,"M13",13
"22","CUUR0000SA0",1934,"M13",13.4
"23","CUUR0000SA0",1935,"M13",13.7
"24","CUUR0000SA0",1936,"M13",13.9
"25","CUUR0000SA0",1937,"M13",14.4
"26","CUUR0000SA0",1938,"M13",14.1
"27","CUUR0000SA0",1939,"M13",13.9
"28","CUUR0000SA0",1940,"M13",14
"29","CUUR0000SA0",1941,"M13",14.7
"30","CUUR0000SA0",1942,"M13",16.3
"31","CUUR0000SA0",1943,"M13",17.3
"32","CUUR0000SA0",1944,"M13",17.6
"33","CUUR0000SA0",1945,"M13",18
"34","CUUR0000SA0",1946,"M13",19.5
"35","CUUR0000SA0",1947,"M13",22.3
"36","CUUR0000SA0",1948,"M13",24.1
"37","CUUR0000SA0",1949,"M13",23.8
"38","CUUR0000SA0",1950,"M13",24.1
"39","CUUR0000SA0",1951,"M13",26
"40","CUUR0000SA0",1952,"M13",26.5
"41","CUUR0000SA0",1953,"M13",26.7
"42","CUUR0000SA0",1954,"M13",26.9
"43","CUUR0000SA0",1955,"M13",26.8
"44","CUUR0000SA0",1956,"M13",27.2
"45","CUUR0000SA0",1957,"M13",28.1
"46","CUUR0000SA0",1958,"M13",28.9
"47","CUUR0000SA0",1959,"M13",29.1
"48","CUUR0000SA0",1960,"M13",29.6
"49","CUUR0000SA0",1961,"M13",29.9
"50","CUUR0000SA0",1962,"M13",30.2
"51","CUUR0000SA0",1963,"M13",30.6
"52","CUUR0000SA0",1964,"M13",31
"53","CUUR0000SA0",1965,"M13",31.5
"54","CUUR0000SA0",1966,"M13",32.4
"55","CUUR0000SA0",1967,"M13",33.4
"56","CUUR0000SA0",1968,"M13",34.8
"57","CUUR0000SA0",1969,"M13",36.7
"58","CUUR0000SA0",1970,"M13",38.8
"59","CUUR0000SA0",1971,"M13",40.5
"60","CUUR0000SA0",1972,"M13",41.8
"61","CUUR0000SA0",1973,"M13",44.4
"62","CUUR0000SA0",1974,"M13",49.3
"63","CUUR0000SA0",1975,"M13",53.8
"64","CUUR0000SA0",1976,"M13",56.9
"65","CUUR0000SA0",1977,"M13",60.6
"66","CUUR0000SA0",1978,"M13",65.2
"67","CUUR0000SA0",1979,"M13",72.6
"68","CUUR0000SA0",1980,"M13",82.4
"69","CUUR0000SA0",1981,"M13",90.9
"70","CUUR0000SA0",1982,"M13",96.5
"71","CUUR0000SA0",1983,"M13",99.6
"72","CUUR0000SA0",1984,"M13",103.9
"73","CUUR0000SA0",1985,"M13",107.6
"74","CUUR0000SA0",1986,"M13",109.6
"75","CUUR0000SA0",1987,"M13",113.6
"76","CUUR0000SA0",1988,"M13",118.3
"77","CUUR0000SA0",1989,"M13",124
"78","CUUR0000SA0",1990,"M13",130.7
"79","CUUR0000SA0",1991,"M13",136.2
"80","CUUR0000SA0",1992,"M13",140.3
"81","CUUR0000SA0",1993,"M13",144.5
"82","CUUR0000SA0",1994,"M13",148.2
"83","CUUR0000SA0",1995,"M13",152.4
"84","CUUR0000SA0",1996,"M13",156.9
"85","CUUR0000SA0",1997,"M13",160.5
"86","CUUR0000SA0",1998,"M13",163
"87","CUUR0000SA0",1999,"M13",166.6
"88","CUUR0000SA0",2000,"M13",172.2
"89","CUUR0000SA0",2001,"M13",177.1
"90","CUUR0000SA0",2002,"M13",179.9
"91","CUUR0000SA0",2003,"M13",184
"92","CUUR0000SA0",2004,"M13",188.9
"93","CUUR0000SA0",2005,"M13",195.3
"94","CUUR0000SA0",2006,"M13",201.6
"95","CUUR0000SA0",2007,"M13",207.342
"96","CUUR0000SA0",2008,"M13",215.303
"97","CUUR0000SA0",2009,"M13",214.537
"98","CUUR0000SA0",2010,"M13",218.056
"99","CUUR0000SA0",2011,"M13",224.939
"100","CUUR0000SA0",2012,"M13",229.594
"101","CUUR0000SA0",2013,"M13",232.957
"102","CUUR0000SA0",2014,"M13",236.736
"103","CUUR0000SA0",2015,"M13",237.017
"104","CUUR0000SA0",2016,"M13",240.007
"105","CUUR0000SA0",2017,"M13",245.12
"106","CUUR0000SA0",2018,"M13",251.107
"107","CUUR0000SA0",2019,"M13",255.657
